ORIGIN,DEST,YEAR,LABEL,MONTH,DAY_OF_WEEK,UNIQUE_CARRIER,ORIGIN_STATE_ABR,DEST_STATE_ABR,CRS_DEP_TIME,CRS_ELAPSED_TIME,DISTANCE
ABE,ATL,2010,0,437,437,437,437,437,437,437,437
ABE,ATL,2010,1,74,74,74,74,74,74,74,74
ABE,ATL,2010,3,8,8,8,8,8,8,8,8
ABE,ATL,2011,0,545,545,545,545,545,545,545,545
ABE,ATL,2011,1,129,129,129,129,129,129,129,129
ABE,ATL,2011,2,4,4,4,4,4,4,4,4
ABE,ATL,2011,3,28,28,28,28,28,28,28,28
ABE,ATL,2012,0,414,414,414,414,414,414,414,414
ABE,ATL,2012,1,36,36,36,36,36,36,36,36
ABE,ATL,2012,2,2,2,2,2,2,2,2,2
ABE,ATL,2012,3,2,2,2,2,2,2,2,2
ABE,AVP,2011,3,1,1,1,1,1,1,1,1
ABE,CLE,2010,0,26,26,26,26,26,26,26,26
ABE,CLE,2010,1,8,8,8,8,8,8,8,8
ABE,CLT,2010,0,310,310,310,310,310,310,310,310
ABE,CLT,2010,1,26,26,26,26,26,26,26,26
ABE,CLT,2010,3,11,11,11,11,11,11,11,11
ABE,CLT,2011,0,275,275,275,275,275,275,275,275
ABE,CLT,2011,1,59,59,59,59,59,59,59,59
ABE,CLT,2011,3,5,5,5,5,5,5,5,5
ABE,CLT,2012,0,324,324,324,324,324,324,324,324
ABE,CLT,2012,1,30,30,30,30,30,30,30,30
ABE,CLT,2012,3,10,10,10,10,10,10,10,10
ABE,DTW,2010,0,865,865,865,865,865,865,865,865
ABE,DTW,2010,1,204,204,204,204,204,204,204,204
ABE,DTW,2010,2,4,4,4,4,4,4,4,4
ABE,DTW,2010,3,28,28,28,28,28,28,28,28
ABE,DTW,2011,0,133,133,133,133,133,133,133,133
ABE,DTW,2011,1,36,36,36,36,36,36,36,36
ABE,DTW,2012,0,238,238,238,238,238,238,238,238
ABE,DTW,2012,1,71,71,71,71,71,71,71,71
ABE,DTW,2012,2,1,1,1,1,1,1,1,1
ABE,DTW,2012,3,6,6,6,6,6,6,6,6
ABE,FLL,2010,0,65,65,65,65,65,65,65,65
ABE,FLL,2010,1,24,24,24,24,24,24,24,24
ABE,FLL,2011,0,53,53,53,53,53,53,53,53
ABE,FLL,2011,1,9,9,9,9,9,9,9,9
ABE,FLL,2011,2,2,2,2,2,2,2,2,2
ABE,IAD,2012,0,240,240,240,240,240,240,240,240
ABE,IAD,2012,1,20,20,20,20,20,20,20,20
ABE,IAD,2012,3,16,16,16,16,16,16,16,16
ABE,MCO,2010,0,254,254,254,254,254,254,254,254
ABE,MCO,2010,1,54,54,54,54,54,54,54,54
ABE,MCO,2010,3,2,2,2,2,2,2,2,2
ABE,MCO,2011,0,461,461,461,461,461,461,461,461
ABE,MCO,2011,1,44,44,44,44,44,44,44,44
ABE,MCO,2011,3,3,3,3,3,3,3,3,3
ABE,MCO,2012,0,356,356,356,356,356,356,356,356
ABE,MCO,2012,1,47,47,47,47,47,47,47,47
ABE,MCO,2012,2,1,1,1,1,1,1,1,1
ABE,MCO,2012,3,2,2,2,2,2,2,2,2
ABE,ORD,2010,0,1382,1382,1382,1382,1382,1382,1382,1382
ABE,ORD,2010,1,338,338,338,338,338,338,338,338
ABE,ORD,2010,2,8,8,8,8,8,8,8,8
ABE,ORD,2010,3,45,45,45,45,45,45,45,45
ABE,ORD,2011,0,1540,1540,1540,1540,1540,1540,1540,1540
ABE,ORD,2011,1,392,392,392,392,392,392,392,392
ABE,ORD,2011,2,8,8,8,8,8,8,8,8
ABE,ORD,2011,3,133,133,133,133,133,133,133,133
ABE,ORD,2012,0,811,811,811,811,811,811,811,811
ABE,ORD,2012,1,173,173,173,173,173,173,173,173
ABE,ORD,2012,2,2,2,2,2,2,2,2,2
ABE,ORD,2012,3,39,39,39,39,39,39,39,39
ABI,DFW,2010,0,2104,2104,2104,2104,2104,2104,2104,2104
ABI,DFW,2010,1,328,328,328,328,328,328,328,328
ABI,DFW,2010,2,5,5,5,5,5,5,5,5
ABI,DFW,2010,3,60,60,60,60,60,60,60,60
ABI,DFW,2011,0,2104,2104,2104,2104,2104,2104,2104,2104
ABI,DFW,2011,1,297,297,297,297,297,297,297,297
ABI,DFW,2011,2,2,2,2,2,2,2,2,2
ABI,DFW,2011,3,76,76,76,76,76,76,76,76
ABI,DFW,2012,0,2166,2166,2166,2166,2166,2166,2166,2166
ABI,DFW,2012,1,223,223,223,223,223,223,223,223
ABI,DFW,2012,2,1,1,1,1,1,1,1,1
ABI,DFW,2012,3,49,49,49,49,49,49,49,49
ABQ,ATL,2010,0,873,873,873,873,873,873,873,873
ABQ,ATL,2010,1,159,159,159,159,159,159,159,159
ABQ,ATL,2010,2,2,2,2,2,2,2,2,2
