ORIGIN,DEST,YEAR,LABEL,MONTH,DAY_OF_WEEK,UNIQUE_CARRIER,DEST_STATE_ABR,CRS_DEP_TIME,DISTANCE
IAH,ABQ,2010,0,1638,1638,1638,1638,1638,1638
IAH,ABQ,2010,1,429,429,429,429,429,429
IAH,ABQ,2010,2,1,1,1,1,1,1
IAH,ABQ,2010,3,12,12,12,12,12,12
IAH,ABQ,2011,0,1367,1367,1367,1367,1367,1367
IAH,ABQ,2011,1,400,400,400,400,400,400
IAH,ABQ,2011,2,6,6,6,6,6,6
IAH,ABQ,2011,3,20,20,20,20,20,20
IAH,ABQ,2012,0,1149,1149,1149,1149,1149,1149
IAH,ABQ,2012,1,315,315,315,315,315,315
IAH,ABQ,2012,2,5,5,5,5,5,5
IAH,ABQ,2012,3,13,13,13,13,13,13
IAH,ACT,2012,0,143,143,143,143,143,143
IAH,ACT,2012,1,37,37,37,37,37,37
IAH,ACT,2012,3,7,7,7,7,7,7
IAH,AEX,2010,0,604,604,604,604,604,604
IAH,AEX,2010,1,113,113,113,113,113,113
IAH,AEX,2010,3,12,12,12,12,12,12
IAH,AEX,2011,0,589,589,589,589,589,589
IAH,AEX,2011,1,121,121,121,121,121,121
IAH,AEX,2011,2,2,2,2,2,2,2
IAH,AEX,2011,3,12,12,12,12,12,12
IAH,AEX,2012,0,765,765,765,765,765,765
IAH,AEX,2012,1,210,210,210,210,210,210
IAH,AEX,2012,2,7,7,7,7,7,7
IAH,AEX,2012,3,26,26,26,26,26,26
IAH,AGS,2010,0,1,1,1,1,1,1
IAH,AGS,2011,0,1,1,1,1,1,1
IAH,AGS,2012,1,1,1,1,1,1,1
IAH,AMA,2010,0,1193,1193,1193,1193,1193,1193
IAH,AMA,2010,1,228,228,228,228,228,228
IAH,AMA,2010,2,4,4,4,4,4,4
IAH,AMA,2010,3,34,34,34,34,34,34
IAH,AMA,2011,0,1016,1016,1016,1016,1016,1016
IAH,AMA,2011,1,241,241,241,241,241,241
IAH,AMA,2011,2,8,8,8,8,8,8
IAH,AMA,2011,3,32,32,32,32,32,32
IAH,AMA,2012,0,934,934,934,934,934,934
IAH,AMA,2012,1,261,261,261,261,261,261
IAH,AMA,2012,2,4,4,4,4,4,4
IAH,AMA,2012,3,17,17,17,17,17,17
IAH,ANC,2010,0,77,77,77,77,77,77
IAH,ANC,2010,1,45,45,45,45,45,45
IAH,ANC,2011,0,67,67,67,67,67,67
IAH,ANC,2011,1,57,57,57,57,57,57
IAH,ANC,2011,2,1,1,1,1,1,1
IAH,ANC,2012,0,65,65,65,65,65,65
IAH,ANC,2012,1,50,50,50,50,50,50
IAH,ANC,2012,2,5,5,5,5,5,5
IAH,ASE,2010,0,2,2,2,2,2,2
IAH,ASE,2010,1,2,2,2,2,2,2
IAH,ASE,2011,0,89,89,89,89,89,89
IAH,ASE,2011,1,23,23,23,23,23,23
IAH,ASE,2011,2,8,8,8,8,8,8
IAH,ASE,2011,3,5,5,5,5,5,5
IAH,ASE,2012,0,218,218,218,218,218,218
IAH,ASE,2012,1,67,67,67,67,67,67
IAH,ASE,2012,2,10,10,10,10,10,10
IAH,ASE,2012,3,6,6,6,6,6,6
IAH,ATL,2010,0,3902,3902,3902,3902,3902,3902
IAH,ATL,2010,1,1188,1188,1188,1188,1188,1188
IAH,ATL,2010,2,21,21,21,21,21,21
IAH,ATL,2010,3,82,82,82,82,82,82
IAH,ATL,2011,0,3791,3791,3791,3791,3791,3791
IAH,ATL,2011,1,1110,1110,1110,1110,1110,1110
IAH,ATL,2011,2,18,18,18,18,18,18
IAH,ATL,2011,3,78,78,78,78,78,78
IAH,ATL,2012,0,4076,4076,4076,4076,4076,4076
IAH,ATL,2012,1,1042,1042,1042,1042,1042,1042
IAH,ATL,2012,2,11,11,11,11,11,11
IAH,ATL,2012,3,45,45,45,45,45,45
