ORIGIN,DEST,ON_TIME,DELAYED15MIN,DIVERTED,CANCELLED,TOTAL
ABE,ATL,1396,239,6,38,1679
ABE,AVP,0,0,0,1,1
ABE,CLE,26,8,0,0,34
ABE,CLT,909,115,0,26,1050
ABE,DTW,1236,311,5,34,1586
ABE,FLL,118,33,2,0,153
ABE,IAD,240,20,0,16,276
ABE,MCO,1071,145,1,7,1224
ABE,ORD,3733,903,18,217,4871
ABI,DFW,6374,848,8,185,7415
ABQ,ATL,2516,394,8,25,2943
ABQ,BWI,1450,248,6,14,1718
ABQ,DAL,6754,1305,40,50,8149
ABQ,DEN,6915,1318,14,75,8322
ABQ,DFW,7261,951,20,185,8417
ABQ,ELP,1533,312,2,4,1851
ABQ,EWR,1,1,0,0,2
ABQ,HOU,2453,517,12,8,2990
ABQ,IAD,950,123,3,18,1094
ABQ,IAH,4378,916,15,49,5358
ABQ,LAS,4865,905,8,14,5792
ABQ,LAX,7088,1416,13,67,8584
ABQ,LBB,668,278,4,3,953
ABQ,MAF,663,286,1,4,954
ABQ,MCI,1093,154,3,4,1254
ABQ,MCO,828,146,5,1,980
ABQ,MDW,1960,193,7,12,2172
ABQ,MSP,1490,193,2,13,1698
ABQ,OAK,2323,398,4,13,2738
ABQ,ORD,1775,514,12,59,2360
ABQ,PDX,825,199,1,0,1025
ABQ,PHX,12097,2064,9,119,14289
ABQ,SAN,2195,382,5,8,2590
ABQ,SEA,1679,331,2,5,2017
ABQ,SFO,1141,146,5,19,1311
ABQ,SLC,4881,461,8,29,5379
ABQ,STL,962,121,4,4,1091
ABQ,TUS,1706,370,0,2,2078
ABR,MSP,564,41,0,12,617
ABY,ATL,2432,544,3,51,3030
ACK,BOS,88,23,0,0,111
ACK,JFK,609,209,2,24,844
ACT,DFW,1617,187,0,71,1875
ACT,IAH,152,27,0,8,187
ACV,CEC,717,166,19,38,940
ACV,CIC,1,0,0,0,1
ACV,RDD,0,0,1,0,1
ACV,SFO,4161,2618,8,458,7245
ACV,SMF,1412,330,4,126,1872
ACY,ATL,1246,187,2,31,1466
ACY,MCO,101,9,0,3,113
ADK,ANC,209,85,0,18,312
ADQ,ANC,1580,239,0,193,2012
AEX,ATL,3328,675,9,78,4090
AEX,DFW,2929,478,8,78,3493
AEX,IAH,2005,402,5,49,2461
AEX,LFT,0,0,1,0,1
AEX,MEM,494,73,1,21,589
AGS,ATL,7214,2061,1,184,9460
AGS,CLT,63,14,0,1,78
AGS,DFW,954,198,5,25,1182
AGS,LGA,7,4,0,0,11
AKN,ANC,208,35,0,2,245
ALB,ATL,2059,457,7,53,2576
ALB,BWI,4729,941,15,80,5765
ALB,CLE,2755,426,2,61,3244
ALB,CLT,1845,305,2,41,2193
ALB,CVG,241,13,3,2,259
ALB,DTW,1110,277,1,48,1436
ALB,EWR,544,323,0,65,932
ALB,FLL,992,97,5,4,1098
ALB,IAD,1598,391,2,76,2067
ALB,JFK,220,82,0,19,321
ALB,LAS,953,135,3,4,1095
ALB,MCO,2191,332,6,21,2550
ALB,MDW,1872,244,9,27,2152
ALB,MSP,183,17,0,6,206
ALB,ORD,3184,742,20,114,4060
ALB,TPA,1038,70,1,7,1116
ALO,MSP,95,13,0,3,111
ALO,ORD,445,50,1,13,509
AMA,DAL,5232,844,21,93,6190
AMA,DEN,2678,529,8,34,3249
AMA,DFW,4947,1044,11,196,6198
AMA,IAH,3241,626,8,96,3971
AMA,LAS,929,161,0,6,1096
AMA,LBB,0,0,0,1,1
AMA,MEM,488,64,1,7,560
AMA,SHV,0,1,0,0,1
ANC,ADK,247,47,1,17,312
ANC,ADQ,1635,183,4,190,2012
ANC,AKN,221,22,0,2,245
ANC,ATL,55,28,0,0,83
ANC,BET,2567,369,2,95,3033
ANC,CDV,923,146,13,2,1084
ANC,DEN,872,247,2,5,1126
ANC,DFW,313,119,4,2,438
ANC,DLG,207,32,2,3,244
ANC,DTW,120,16,0,0,136
ANC,FAI,7422,787,10,36,8255
ANC,HNL,820,108,0,0,928
ANC,IAH,239,129,1,1,370
ANC,JNU,2906,399,57,6,3368
ANC,KOA,8,0,0,0,8
ANC,LAX,529,50,2,1,582
ANC,LGB,178,28,0,3,209
ANC,MSP,1868,327,7,5,2207
ANC,OGG,162,33,0,0,195
ANC,OME,958,125,23,17,1123
ANC,ORD,1256,391,12,3,1662
ANC,OTZ,1782,261,53,28,2124
ANC,PDX,2097,191,3,6,2297
ANC,PHL,110,69,0,1,180
ANC,PHX,961,213,2,13,1189
ANC,SCC,858,95,6,12,971
ANC,SEA,16072,1789,41,102,18004
ANC,SFO,259,68,2,3,332
ANC,SLC,1196,146,2,3,1347
APN,DTW,72,8,0,2,82
APN,MSP,108,6,0,4,118
ART,ORD,595,79,2,26,702
ASE,ATL,54,24,2,7,87
ASE,DEN,7277,1352,6,666,9301
ASE,DFW,137,45,0,21,203
ASE,IAH,315,93,1,22,431
ASE,LAX,1202,347,1,98,1648
ASE,ORD,869,333,6,102,1310
ASE,SFO,289,165,3,39,496
ASE,SLC,69,24,0,8,101
ATL,ABE,1440,431,7,27,1905
ATL,ABQ,2378,547,2,14,2941
ATL,ABY,2451,532,6,41,3030
ATL,ACY,1201,232,3,29,1465
ATL,AEX,3246,774,10,58,4088
ATL,AGS,7387,1877,20,167,9451
ATL,ALB,1963,551,10,46,2570
ATL,ANC,57,26,0,0,83
ATL,ASE,51,23,6,7,87
ATL,ATW,913,374,7,32,1326
ATL,AUS,5733,1048,5,57,6843
ATL,AVL,7095,1723,19,176,9013
ATL,AVP,305,68,0,3,376
ATL,BDL,5350,852,11,96,6309
ATL,BHM,9080,2119,12,183,11394
ATL,BKG,1690,182,8,24,1904
ATL,BMI,4943,1314,26,114,6397
ATL,BNA,8147,1864,12,147,10170
ATL,BOS,13223,3170,20,242,16655
ATL,BQK,2345,534,13,51,2943
ATL,BTR,6506,1845,24,126,8501
ATL,BUF,7365,1078,25,81,8549
ATL,BWI,15755,3339,28,328,19450
ATL,BZN,139,34,3,1,177
ATL,CAE,8164,1991,8,132,10295
ATL,CAK,7764,1628,20,93,9505
ATL,CHA,7369,1805,6,161,9341
ATL,CHO,2523,496,12,64,3095
ATL,CHS,8988,1765,16,172,10941
ATL,CID,671,125,3,6,805
ATL,CLE,6065,1577,12,158,7812
ATL,CLT,17733,3795,19,262,21809
ATL,CMH,8325,1486,13,101,9925
ATL,COS,922,227,8,8,1165
ATL,COU,258,50,2,0,310
ATL,CRW,3924,961,40,108,5033
ATL,CSG,3351,858,1,78,4288
ATL,CVG,6205,1102,7,55,7369
ATL,DAB,4171,910,18,55,5154
ATL,DAL,427,88,2,0,517
ATL,DAY,7592,1389,12,109,9102
ATL,DCA,17986,3808,55,569,22418
ATL,DEN,13892,2685,41,101,16719
ATL,DFW,22206,3954,101,529,26790
ATL,DHN,3244,729,7,75,4055
ATL,DSM,1912,571,5,29,2517
ATL,DTW,12116,2463,23,92,14694
ATL,ECP,5727,1314,21,104,7166
ATL,EGE,266,33,6,5,310
ATL,ELP,1952,404,13,17,2386
ATL,EVV,2741,606,11,54,3412
ATL,EWN,2201,527,12,38,2778
