iata_code,type,name,lat,lon,elevation_ft,iso_region,municipality,icao_code,home_link,wikipedia_link
ABQ,large_airport,Albuquerque International Sunport Airport,35.040199,-106.609001,5355.0,US-NM,Albuquerque,KABQ,http://www.abqsunport.com/,http://en.wikipedia.org/wiki/Albuquerque_International_Sunport
AGS,large_airport,Augusta Regional At Bush Field,33.36989975,-81.96450043,144.0,US-GA,Augusta,KAGS,,http://en.wikipedia.org/wiki/Augusta_Regional_Airport
AMA,large_airport,Rick Husband Amarillo International Airport,35.219398,-101.706001,3607.0,US-TX,Amarillo,KAMA,http://airport.amarillo.gov/,http://en.wikipedia.org/wiki/Rick_Husband_Amarillo_International_Airport
ATL,large_airport,Hartsfield Jackson Atlanta International Airport,33.63669968,-84.42810059,1026.0,US-GA,Atlanta,KATL,http://www.atlanta-airport.com/,http://en.wikipedia.org/wiki/Hartsfield-Jackson_Atlanta_International_Airport
AUS,large_airport,Austin Bergstrom International Airport,30.19449997,-97.66989899,542.0,US-TX,Austin,KAUS,http://www.ci.austin.tx.us/austinairport/,http://en.wikipedia.org/wiki/Austin-Bergstrom_International_Airport
AVL,large_airport,Asheville Regional Airport,35.43619919,-82.54180145,2165.0,US-NC,Asheville,KAVL,,http://en.wikipedia.org/wiki/Asheville_Regional_Airport
BHM,large_airport,Birmingham-Shuttlesworth International Airport,33.56290054,-86.75350189,650.0,US-AL,Birmingham,KBHM,http://www.flybirmingham.com/,http://en.wikipedia.org/wiki/Birmingham_International_Airport_(US)
BNA,large_airport,Nashville International Airport,36.12450027,-86.67819977,599.0,US-TN,Nashville,KBNA,,http://en.wikipedia.org/wiki/Nashville_International_Airport
BOS,large_airport,General Edward Lawrence Logan International Airport,42.36429977,-71.00520325,20.0,US-MA,Boston,KBOS,http://www.massport.com/logan/,http://en.wikipedia.org/wiki/Logan_International_Airport
BTR,large_airport,"Baton Rouge Metropolitan, Ryan Field",30.53319931,-91.14959717,70.0,US-LA,Baton Rouge,KBTR,,http://en.wikipedia.org/wiki/Baton_Rouge_Metropolitan_Airport
BWI,large_airport,Baltimore/Washington International Thurgood Marshall Airport,39.17539978,-76.66829681,146.0,US-MD,Baltimore,KBWI,,http://en.wikipedia.org/wiki/Baltimore-Washington_International_Thurgood_Marshall_Airport
CAE,large_airport,Columbia Metropolitan Airport,33.93880081,-81.11949921,236.0,US-SC,Columbia,KCAE,,http://en.wikipedia.org/wiki/Columbia_Metropolitan_Airport
CHS,large_airport,Charleston Air Force Base-International Airport,32.89860153,-80.04049683,46.0,US-SC,Charleston,KCHS,,http://en.wikipedia.org/wiki/Charleston_International_Airport
CID,large_airport,The Eastern Iowa Airport,41.88470078,-91.71080017,869.0,US-IA,Cedar Rapids,KCID,,http://en.wikipedia.org/wiki/The_Eastern_Iowa_Airport
CLE,large_airport,Cleveland Hopkins International Airport,41.4117012,-81.84980011,791.0,US-OH,Cleveland,KCLE,http://www.clevelandairport.com/,http://en.wikipedia.org/wiki/Cleveland_Hopkins_International_Airport
CLT,large_airport,Charlotte Douglas International Airport,35.21400070000001,-80.94309998,748.0,US-NC,Charlotte,KCLT,http://www.charlotteairport.com/,http://en.wikipedia.org/wiki/Charlotte/Douglas_International_Airport
CMH,large_airport,Port Columbus International Airport,39.9980011,-82.89189911,815.0,US-OH,Columbus,KCMH,,http://en.wikipedia.org/wiki/Port_Columbus_International_Airport
COS,large_airport,City of Colorado Springs Municipal Airport,38.80580139,-104.70099640000001,6187.0,US-CO,Colorado Springs,KCOS,https://flycos.coloradosprings.gov/,http://en.wikipedia.org/wiki/Colorado_Springs_Airport
CRP,large_airport,Corpus Christi International Airport,27.77039909,-97.50119781,44.0,US-TX,Corpus Christi,KCRP,,http://en.wikipedia.org/wiki/Corpus_Christi_International_Airport
CRW,large_airport,Yeager Airport,38.37310028,-81.59320068,981.0,US-WV,Charleston,KCRW,,http://en.wikipedia.org/wiki/Yeager_Airport
CVG,large_airport,Cincinnati Northern Kentucky International Airport,39.04880142,-84.6678009,896.0,US-KY,Cincinnati,KCVG,,http://en.wikipedia.org/wiki/Cincinnati/Northern_Kentucky_International_Airport
DAL,large_airport,Dallas Love Field,32.847099,-96.851799,487.0,US-TX,Dallas,KDAL,http://www.dallas-lovefield.com/,http://en.wikipedia.org/wiki/Dallas_Love_Field
DAY,large_airport,James M Cox Dayton International Airport,39.90240097,-84.2193985,1009.0,US-OH,Dayton,KDAY,,http://en.wikipedia.org/wiki/Dayton_International_Airport
DCA,large_airport,Ronald Reagan Washington National Airport,38.8521,-77.037697,15.0,US-DC,Washington,KDCA,http://www.flyreagan.com/dca/reagan-national-airport,http://en.wikipedia.org/wiki/Ronald_Reagan_Washington_National_Airport
DEN,large_airport,Denver International Airport,39.86169815,-104.6729965,5431.0,US-CO,Denver,KDEN,http://www.flydenver.com/,http://en.wikipedia.org/wiki/Denver_International_Airport
DFW,large_airport,Dallas Fort Worth International Airport,32.89680099,-97.03800201,607.0,US-TX,Dallas-Fort Worth,KDFW,http://www.dfwairport.com/,http://en.wikipedia.org/wiki/Dallas-Fort_Worth_International_Airport
DSM,large_airport,Des Moines International Airport,41.5340004,-93.6631012,958.0,US-IA,Des Moines,KDSM,,http://en.wikipedia.org/wiki/Des_Moines_International_Airport
DTW,large_airport,Detroit Metropolitan Wayne County Airport,42.21239853,-83.35340118,645.0,US-MI,Detroit,KDTW,http://www.metroairport.com/,http://en.wikipedia.org/wiki/Detroit_Metropolitan_Wayne_County_Airport
